symbol,Market Capitalization (in Crores),,,
HCC,3564.09,,,
HCG,2769.21,,,
HCLTECH,131472.50,,,
HDFCAMC,,,,
HDFCBANK,487554.51,,,
HDFCLIFE,88765.61,,,
HEG,10812.34,,,
HEIDELBERG,3647.34,,,
HEMIPROP,,,,
HERANBA,,,,
HERCULES,431.04,,,
HERITGFOOD,3230.46,,,
HEROMOTOCO,71601.55,,,
HESTERBIO,1297.30,,,
HEUBACHIND,1436.96,,,
HEXATRADEX,309.37,,,
HFCL,3519.83,,,
HGINFRA,,,,
HGS,2032.81,,,
HIKAL,1890.61,,,
HIL,1275.69,,,
HIMATSEIDE,3584.83,,,
HINDALCO,54735.56,,,
HINDCOMPOS,710.32,,,
HINDCOPPER,7364.74,,,
HINDMOTORS,180.49,,,
HINDOILEXP,1582.88,,,
HINDPETRO,60922.43,,,
HINDUNILVR,287778.25,,,
HINDWAREAP,,,,
HINDZINC,121908.60,,,
HIRECT,212.35,,,
HITECH,377.43,,,
HITECHGEAR,857.42,,,
HLEGLAS,131.92,,,
HLVLTD,1248.49,,,
HMAAGRO,,,,
HMT,4226.36,,,
HMVL,1775.03,,,
HNDFDS,565.50,,,
HOMEFIRST,,,,
HONASA,,,,
HONAUT,15014.94,,,
HONDAPOWER,1421.35,,,
HPAL,,,,
HPL,941.68,,,
HSCL,6784.48,,,
HTMEDIA,2248.35,,,
HUBTOWN,759.73,,,
HUDCO,15865.06,,,
HUHTAMAKI,2418.21,,,
EMBDL,10096.32,,,
SAMMAANCAP,56063.86,,,
ICEMAKE,159.85,,,
ICICIBANK,214454.89,,,
ICICIGI,36753.92,,,
ICICIPRULI,60390.24,,,
ICIL,2094.41,,,
ICRA,3878.58,,,
IDBI,16277.75,,,
IDEA,30862.78,,,
IDEAFORGE,,,,
IDFC,8588.39,,,
IDFCFIRSTB,18120.07,,,
IEX,4704.81,,,
IFBAGRO,653.31,,,
IFBIND,5535.88,,,
IFCI,3880.86,,,
IFGLEXPOR,1075.95,,,
IGARASHI,2468.72,,,
IGL,20314.02,,,
IGPL,2152.10,,,
IIFL,24025.80,,,
IIFLSEC,,,,
IKIO,,,,
IMAGICAA,522.65,,,
IMFA,1637.91,,,
IMPAL,872.27,,,
INDGN,,,,
INDHOTEL,16310.68,,,
INDIACEM,4972.04,,,
INDIAGLYCO,1513.09,,,
INDIAMART,,,,
INDIANB,16351.53,,,
INDIANHUME,1938.86,,,
INDIASHLTR,,,,
INDIGO,48265.88,,,
INDIGOPNTS,,,,
INDNIPPON,1148.09,,,
INDOAMIN,374.43,,,
INDOBORAX,154.64,,,
INDOCO,2528.61,,,
INDORAMA,586.03,,,
INDOSTAR,,,,
INDOTECH,214.10,,,
INDRAMEDCO,501.45,,,
INDSWFTLAB,287.06,,,
INDUSINDBK,100245.01,,,
INDUSTOWER,64560.63,,,
INFIBEAM,8467.42,,,
INFOBEAN,195.49,,,
INFY,246504.99,,,
INGERRAND,2345.50,,,
INNOVACAP,,,,
INOXGREEN,,,,
INOXINDIA,,,,
INOXWIND,2712.95,,,
INSECTICID,1677.50,,,
INTELLECT,2398.36,,,
INTLCONV,175.50,,,
IOB,6004.64,,,
IOC,182585.74,,,
IOLCP,440.65,,,
IONEXCHANG,735.91,,,
IPCALAB,7488.02,,,
IPL,,,,
IRB,7835.58,,,
IRCON,,,,
IRCTC,,,,
IREDA,,,,
IRFC,,,,
IRISDOREME,,,,
IRMENERGY,,,,
ISEC,,,,
ISGEC,5593.72,,,
ITC,334214.86,,,
ITDC,3904.22,,,
ITDCEM,3174.63,,,
ITI,7942.00,,,
IWEL,,,,
IXIGO,,,,
IZMO,136.94,,,
J&KBANK,3934.20,,,
JAGRAN,5294.00,,,
JAGSNPHARM,90.25,,,
JAIBALAJI,141.69,,,
JAICORPLTD,2846.27,,,
JAMNAAUTO,3110.01,,,
JASH,214.83,,,
JAYAGROGN,1159.50,,,
JAYBARMARU,1060.63,,,
JAYNECOIND,629.05,,,
JBCHEPHARM,2543.45,,,
JBMA,1996.93,,,
JCHAC,6293.19,,,
JGCHEM,,,,
JINDALPHOT,70.73,,,
JINDALPOLY,1506.91,,,
JINDALSAW,4313.53,,,
JINDALSTEL,24404.91,,,
JINDRILL,493.55,,,
JINDWORLD,2435.12,,,
JISLJALEQS,5849.22,,,
JITFINFRA,114.77,,,
JKCEMENT,7265.44,,,
JKIL,2325.58,,,
JKLAKSHMI,4917.43,,,
JKPAPER,2456.13,,,
JKTYRE,4015.73,,,
JLHL,,,,
JMFINANCIL,13266.52,,,
JNKINDIA,,,,
JPASSOCIAT,4317.61,,,
JPOLYINVST,72.43,,,
JPPOWER,3867.42,,,
JSFB,,,,
JSL,4812.02,,,
JSWENERGY,13446.89,,,
JSWHL,1915.53,,,
JSWINFRA,,,,
JSWSTEEL,73206.93,,,
JTEKTINDIA,2137.47,,,
JTLIND,164.92,,,
JUBLFOOD,13196.24,,,
JUBLINDS,243.33,,,
JUBLINGREA,,,,
JUBLPHARMA,15081.11,,,
JUNIPER,,,,
JUSTDIAL,3069.51,,,
JWL,95.05,,,
JYOTHYLAB,6432.78,,,
JYOTICNC,,,,
JYOTISTRUC,115.00,,,
KABRAEXTRU,414.09,,,
KAJARIACER,9640.34,,,
KALAMANDIR,,,,
KALYANKJIL,,,,
KAMATHOTEL,275.82,,,
KAMDHENU,565.81,,,
KANORICHEM,384.28,,,
KANSAINER,27067.24,,,
KARURVYSYA,8214.66,,,
KAYA,1237.34,,,
KAYNES,,,,
KCP,1789.43,,,
KCPSUGIND,327.68,,,
KDDL,352.83,,,
KEC,9126.64,,,
KECL,274.95,,,
KEI,3049.83,,,
KELLTONTEC,598.48,,,
KERNEX,54.94,,,
KESORAMIND,1786.69,,,
KFINTECH,,,,
KHADIM,1248.04,,,
KHAICHEM,169.73,,,
KICL,1053.76,,,
KILITCH,108.70,,,
KIMS,,,,
KINGFA,1243.93,,,
KIOCL,21256.21,,,
KIRIINDUS,1630.15,,,
KIRLOSBROS,2816.24,,,
KIRLOSENG,5423.76,,,
KIRLOSIND,1213.58,,,
KIRLPNU,1185.98,,,
KITEX,1912.21,,,
KKCL,1954.07,,,
KNRCON,4312.03,,,
KOKUYOCMLN,1305.45,,,
KOLTEPATIL,2490.72,,,
KOPRAN,321.37,,,
KOTAKBANK,200053.99,,,
KOTHARIPET,151.53,,,
KOTHARIPRO,580.31,,,
KPIGREEN,,,,
KPIL,7100.62,,,
KPITTECH,,,,
KPRMILL,5326.78,,,
KRBL,13191.25,,,
KRISHANA,79.43,,,
KRITI,217.02,,,
KRITIKA,,,,
KRITINUT,219.95,,,
KRONOX,,,,
KRSNAA,,,,
KRYSTAL,,,,
KSB,2768.27,,,
KSCL,3122.19,,,
KSL,1395.37,,,
KSOLVES,,,,
KTKBANK,3853.35,,,
KUANTUM,703.78,,,
LALPATHLAB,7443.28,,,
LANDMARK,,,,
LAOPALA,3442.39,,,
LATENTVIEW,,,,
LAURUSLABS,5393.73,,,
LMW,6275.75,,,
LEMONTREE,,,,
LGBBROSLTD,1511.00,,,
LGHL,,,,
LIBERTSHOE,406.57,,,
LICHSGFIN,25962.39,,,
LICI,,,,
LIKHITHA,,,,
LINC,647.18,,,
LINCOLN,452.70,,,
LINDEINDIA,4349.07,,,
LLOYDSENGG,179.74,,,
LLOYDSME,379.50,,,
LODHA,,,,
LOKESHMACH,109.95,,,
LT,188799.57,,,
LTF,29346.67,,,
LTFOODS,2952.17,,,
LTIM,23844.66,,,
LTTS,13550.32,,,
LUMAXIND,2207.09,,,
LUMAXTECH,1111.52,,,
LUPIN,36817.82,,,
LUXIND,4308.92,,,
LXCHEM,,,,
M&M,81580.48,,,
M&MFIN,27585.29,,,
MAANALU,98.91,,,
MACPOWER,,,,
MADRASFERT,558.22,,,
MAGADSUGAR,169.90,,,
MAHABANK,2621.89,,,
MAHLIFE,2410.37,,,
MAHLOG,3380.66,,,
MAHSCOOTER,2937.26,,,
MAHSEAMLES,3379.80,,,
MAITHANALL,2520.19,,,
MALLCOM,185.95,,,
MANAKSIA,434.16,,,
MANALIPETC,655.32,,,
MANAPPURAM,9173.18,,,
MANGCHEFER,766.20,,,
MANGLMCEM,989.67,,,
MANINDS,743.48,,,
MANINFRA,1494.90,,,
MANKIND,,,,
MANORAMA,,,,
MANYAVAR,,,,
MAPMYINDIA,,,,
MARATHON,1206.81,,,
MARICO,38729.59,,,
MARINE,,,,
MARKSANS,1616.79,,,
MARUTI,272799.44,,,
MASFIN,3275.90,,,
MASTEK,1135.93,,,
MATRIMONY,2011.83,,,
MAXESTATES,,,,
MAXHEALTH,,,,
MAXIND,,,,
MAYURUNIQ,2284.76,,,
MAZDA,165.30,,,
MAZDOCK,,,,
MBAPL,109.53,,,
MBLINFRA,99.28,,,
MCX,3767.25,,,
MEDANTA,,,,
MEDIASSIST,,,,
MEDICAMEQ,705.14,,,
MEDPLUS,,,,
MEGASOFT,64.14,,,
MENONBE,608.59,,,
METROBRAND,,,,
METROPOLIS,,,,
MFSL,13935.84,,,
MGL,9692.57,,,
MHRIL,4046.91,,,
MICEL,43.78,,,
MIDHANI,,,,
MINDACORP,4096.23,,,
MINDTECK,179.15,,,
MIRZAINT,1644.58,,,
MMFL,1322.73,,,
MMP,,,,
MMTC,5610.00,,,
MOIL,6242.51,,,
MOL,,,,
MOLDTECH,175.64,,,
MOLDTKPAC,967.66,,,
MONARCH,228.70,,,
