Stock Symbol,Indices,,,
GLAXO,BSE HC,,,
GLENMARK,BSE HC,,,
GLOBUSSPR,BSEFMC,,,
GLOSTERLTD,"CDGS, REALTY, BSE CG, INDSTR",,,
GLS,BSE HC,,,
GMBREW,BSEFMC,,,
GMDCLTD,COMDTY,,,
GMMPFAUDLR,INDSTR,,,
GMRINFRA,BSE CG,,,
GMRP&UI,INDSTR,,,
GNA,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
GNFC,COMDTY,,,
GOACARBON,"CDGS, COMDTY, INDSTR",,,
GOCLCORP,COMDTY,,,
GOCOLORS,CDGS,,,
GODFRYPHLP,BSEFMC,,,
GODIGIT,FIN,,,
GODREJAGRO,BSEFMC,,,
GODREJCP,BSEFMC,,,
GODREJIND,INDSTR,,,
GODREJPROP,"CDGS, REALTY",,,
GOKEX,CDGS,,,
GOKULAGRO,BSEFMC,,,
GOLDIAM,"CDGS, BSE CD",,,
GOLDTECH,"BSE IT, TECK, CDGS, FIN",,,
GOODLUCK,INDSTR,,,
GOPAL,"BSEFMC, CDGS",,,
GPIL,INDSTR,,,
GPPL,ENERGY,,,
GPTHEALTH,BSE HC,,,
GPTINFRA,"BSE CG, INDSTR",,,
GRANULES,BSE HC,,,
GRAPHITE,INDSTR,,,
GRASIM,COMDTY,,,
GRAVITA,COMDTY,,,
GREAVESCOT,INDSTR,,,
GREENLAM,CDGS,,,
GREENPANEL,CDGS,,,
GREENPLY,CDGS,,,
GREENPOWER,UTILS,,,
GRINDWELL,"BSE CG, INDSTR",,,
GRINFRA,INDSTR,,,
GRMOVER,BSEFMC,,,
GRPLTD,"BSEFMC, COMDTY",,,
GRSE,INDSTR,,,
GRWRHITECH,INDSTR,,,
GSFC,COMDTY,,,
GSLSU,"COMDTY, CDGS",,,
GSPL,ENERGY,,,
GTLINFRA,TELCOM,,,
GTPL,"CDGS, TECK",,,
GUFICBIO,BSE HC,,,
GUJALKALI,COMDTY,,,
GUJGASLTD,ENERGY,,,
GULFOILLUB,ENERGY,,,
GVKPIL,"POWER, UTILS, FIN",,,
HAL,"BSE CG, INDSTR",,,
HAPPSTMNDS,BSE IT,,,
HAPPYFORGE,INDSTR,,,
HARDWYN,"METAL, COMDTY",,,
HARIOMPIPE,"METAL, COMDTY, INDSTR, CDGS",,,
HARSHA,INDSTR,,,
HATHWAY,CDGS,,,
HATSUN,BSEFMC,,,
HAVELLS,"CDGS, BSE CD",,,
HBLPOWER,CDGS,,,
HCC,INDSTR,,,
HCG,BSE HC,,,
HCL-INSYS,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
HCLTECH,"BSE IT, TECK",,,
HDFCAMC,FIN,,,
HDFCBANK,"BANKEX, FIN",,,
HDFCLIFE,FIN,,,
HEG,INDSTR,,,
HEIDELBERG,COMDTY,,,
HEMIPROP,CDGS,,,
HERANBA,COMDTY,,,
HERCULES,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
HERITGFOOD,BSEFMC,,,
HEROMOTOCO,"AUTO, CDGS",,,
HESTERBIO,BSE HC,,,
HEUBACHIND,COMDTY,,,
HEXATRADEX,"COMDTY, BSEFMC",,,
HFCL,"TECK, TELCOM",,,
HGINFRA,INDSTR,,,
HGS,"BSE IT, TECK, CDGS, FIN",,,
HIKAL,BSE HC,,,
HIL,"COMDTY, CDGS",,,
HIMATSEIDE,"CDGS, REALTY, BSE CG, INDSTR",,,
HINDALCO,"COMDTY, METAL",,,
HINDCOMPOS,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
HINDCOPPER,COMDTY,,,
HINDMOTORS,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
HINDOILEXP,ENERGY,,,
HINDPETRO,"OILGAS, ENERGY",,,
HINDUNILVR,BSEFMC,,,
HINDWAREAP,"CDGS, BSE CD, BSE CG, INDSTR, TECK, TELCOM, BSE IT",,,
HINDZINC,COMDTY,,,
HIRECT,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
HITECH,INDSTR,,,
HITECHGEAR,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
HLEGLAS,INDSTR,,,
HLVLTD,CDGS,,,
HMAAGRO,BSEFMC,,,
HMT,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
HMVL,"CDGS, TECK",,,
HNDFDS,BSEFMC,,,
HOMEFIRST,FIN,,,
HONASA,BSEFMC,,,
HONAUT,"BSE CG, INDSTR",,,
HONDAPOWER,INDSTR,,,
HPAL,COMDTY,,,
HPL,CDGS,,,
HSCL,COMDTY,,,
HTMEDIA,"CDGS, TECK",,,
HUBTOWN,"CDGS, REALTY, INDSTR",,,
HUDCO,FIN,,,
HUHTAMAKI,INDSTR,,,
IBREALEST,CDGS,,,
IBULHSGFIN,FIN,,,
ICEMAKE,"BSE CG, INDSTR",,,
ICICIBANK,"BANKEX, FIN",,,
ICICIGI,FIN,,,
ICICIPRULI,FIN,,,
ICIL,CDGS,,,
ICRA,FIN,,,
IDBI,FIN,,,
IDEA,"TECK, TELCOM",,,
IDEAFORGE,INDSTR,,,
IDFC,FIN,,,
IDFCFIRSTB,"BANKEX, FIN",,,
IEX,FIN,,,
IFBAGRO,"BSEFMC, CDGS",,,
IFBIND,CDGS,,,
IFCI,FIN,,,
IFGLEXPOR,INDSTR,,,
IGARASHI,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
IGL,"OILGAS, ENERGY",,,
IGPL,COMDTY,,,
IIFL,FIN,,,
IIFLSEC,FIN,,,
IKIO,"BSE CG, INDSTR",,,
IMAGICAA,CDGS,,,
IMFA,COMDTY,,,
IMPAL,"COMDTY, BSEFMC",,,
INDGN,BSE HC,,,
INDHOTEL,CDGS,,,
INDIACEM,COMDTY,,,
INDIAGLYCO,COMDTY,,,
INDIAMART,CDGS,,,
INDIANB,FIN,,,
INDIANHUME,INDSTR,,,
INDIASHLTR,FIN,,,
INDIGO,BSESER,,,
INDIGOPNTS,CDGS,,,
INDNIPPON,"AUTO, CDGS, INDSTR, BSE CG, ENERGY",,,
INDOAMIN,COMDTY,,,
INDOBORAX,"CDGS, COMDTY, INDSTR",,,
INDOCO,BSE HC,,,
INDORAMA,"CDGS, REALTY, BSE CG, INDSTR",,,
INDOSTAR,FIN,,,
INDOTECH,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
INDRAMEDCO,BSE HC,,,
INDSWFTLAB,BSE HC,,,
INDUSINDBK,"BANKEX, FIN",,,
INDUSTOWER,"TECK, TELCOM",,,
INFIBEAM,FIN,,,
INFOBEAN,BSE IT,,,
INFY,"BSE IT, TECK",,,
INGERRAND,INDSTR,,,
INNOVACAP,BSE HC,,,
INOXGREEN,UTILS,,,
INOXINDIA,INDSTR,,,
INOXWIND,INDSTR,,,
INSECTICID,COMDTY,,,
INTELLECT,BSE IT,,,
INTLCONV,"BSE CG, POWER, INDSTR, CDGS, BSE CD",,,
IOB,FIN,,,
IOC,"OILGAS, ENERGY",,,
IOLCP,BSE HC,,,
IONEXCHANG,INDSTR,,,
IPCALAB,BSE HC,,,
